label,sweep_param,param_value,T_K,kappa_p_W_mK
Cu,A_0,3162277660.1683793,500,26.797600023293217
Cu,A_0,6309573444.801943,200,22.587952075672597
Cu,A_0,6309573444.801943,300,23.188375619246898
Cu,A_0,6309573444.801943,400,23.410011217646
Cu,A_0,6309573444.801943,500,23.514759315860182
Cu,A_0,12589254117.941662,200,19.068827293031706
Cu,A_0,12589254117.941662,300,19.64413496036379
Cu,A_0,12589254117.941662,400,19.856864626089735
Cu,A_0,12589254117.941662,500,19.95746973683837
Cu,A_0,25118864315.09582,200,15.631545872273714
Cu,A_0,25118864315.09582,300,16.17455089761664
Cu,A_0,25118864315.09582,400,16.375786680475997
Cu,A_0,25118864315.09582,500,16.47103772780895
Cu,A_0,50118723362.72715,200,12.49847230179455
Cu,A_0,50118723362.72715,300,13.001830056144502
Cu,A_0,50118723362.72715,400,13.188893134119912
Cu,A_0,50118723362.72715,500,13.27753035605705
Cu,A_0,100000000000.0,200,9.763802444704798
Cu,A_0,100000000000.0,300,10.220109146479665
Cu,A_0,100000000000.0,400,10.390252717239825
Cu,A_0,100000000000.0,500,10.470975985997676
Cu,A_0,199526231496.88828,200,7.44102875846636
Cu,A_0,199526231496.88828,300,7.8430378775394205
Cu,A_0,199526231496.88828,400,7.993513291586227
Cu,A_0,199526231496.88828,500,8.065010746870765
Cu,A_0,398107170553.49695,200,5.506944436559857
Cu,A_0,398107170553.49695,300,5.8481315091117425
Cu,A_0,398107170553.49695,400,5.976386832821828
Cu,A_0,398107170553.49695,500,6.0374266904358915
Cu,A_0,794328234724.2821,200,3.9282310300128604
Cu,A_0,794328234724.2821,300,4.2039087297333655
Cu,A_0,794328234724.2821,400,4.308005275769803
Cu,A_0,794328234724.2821,500,4.357633286433107
Cu,A_0,1584893192461.1108,200,2.6742632982361236
Cu,A_0,1584893192461.1108,300,2.883298937966974
Cu,A_0,1584893192461.1108,400,2.9625804787484205
Cu,A_0,1584893192461.1108,500,3.0004424339351248
Cu,A_0,3162277660168.3794,200,1.719838916000777
Cu,A_0,3162277660168.3794,300,1.8664823056908597
Cu,A_0,3162277660168.3794,400,1.9223203202843273
Cu,A_0,3162277660168.3794,500,1.9490272959050767
Cu,A_0,6309573444801.942,200,1.0383688512056657
Cu,A_0,6309573444801.942,300,1.1327682935605372
Cu,A_0,6309573444801.942,400,1.1688266243320795
Cu,A_0,6309573444801.942,500,1.186094170952304
Cu,A_0,12589254117941.662,200,0.5901198058728179
Cu,A_0,12589254117941.662,300,0.6461104861365448
Cu,A_0,12589254117941.662,400,0.6675450758611565
Cu,A_0,12589254117941.662,500,0.6778184656226827
Cu,A_0,25118864315095.72,200,0.31941044740110497
Cu,A_0,25118864315095.72,300,0.3505108414962253
Cu,A_0,25118864315095.72,400,0.36243339131064034
Cu,A_0,25118864315095.72,500,0.3681508373130101
Cu,A_0,50118723362727.15,200,0.1672062038316972
Cu,A_0,50118723362727.15,300,0.1837252625093343
Cu,A_0,50118723362727.15,400,0.19006300589207017
Cu,A_0,50118723362727.15,500,0.19310320444408385
Cu,A_0,100000000000000.0,200,0.08578176185858769
Cu,A_0,100000000000000.0,300,0.09432264211464267
Cu,A_0,100000000000000.0,400,0.09760086849848455
Cu,A_0,100000000000000.0,500,0.09917368782847283
Cu,A_U,1e-47,200,20.247915459792424
Cu,A_U,1e-47,300,20.83238185109914
Cu,A_U,1e-47,400,21.048362149577205
Cu,A_U,1e-47,500,21.150479979180187
Cu,A_U,1.7782794100389229e-47,200,20.247915459792424
Cu,A_U,1.7782794100389229e-47,300,20.83238185109914
Cu,A_U,1.7782794100389229e-47,400,21.048362149577205
Cu,A_U,1.7782794100389229e-47,500,21.150479979180187
Cu,A_U,3.162277660168379e-47,200,20.247915459792424
Cu,A_U,3.162277660168379e-47,300,20.83238185109914
Cu,A_U,3.162277660168379e-47,400,21.048362149577205
Cu,A_U,3.162277660168379e-47,500,21.150479979180187
Cu,A_U,5.623413251903491e-47,200,20.247915459792424
Cu,A_U,5.623413251903491e-47,300,20.83238185109914
Cu,A_U,5.623413251903491e-47,400,21.048362149577205
Cu,A_U,5.623413251903491e-47,500,21.150479979180187
Cu,A_U,1e-46,200,20.247915459792424
Cu,A_U,1e-46,300,20.83238185109914
Cu,A_U,1e-46,400,21.048362149577205
Cu,A_U,1e-46,500,21.150479979180187
Cu,A_U,1.7782794100389227e-46,200,20.247915459792424
Cu,A_U,1.7782794100389227e-46,300,20.83238185109914
Cu,A_U,1.7782794100389227e-46,400,21.048362149577205
Cu,A_U,1.7782794100389227e-46,500,21.150479979180187
Cu,A_U,3.1622776601683793e-46,200,20.247915459792424
Cu,A_U,3.1622776601683793e-46,300,20.83238185109914
Cu,A_U,3.1622776601683793e-46,400,21.048362149577205
Cu,A_U,3.1622776601683793e-46,500,21.150479979180187
Cu,A_U,5.6234132519034906e-46,200,20.247915459792424
Cu,A_U,5.6234132519034906e-46,300,20.83238185109914
Cu,A_U,5.6234132519034906e-46,400,21.048362149577205
Cu,A_U,5.6234132519034906e-46,500,21.150479979180187
Cu,A_U,1e-45,200,20.247915459792424
Cu,A_U,1e-45,300,20.83238185109914
Cu,A_U,1e-45,400,21.048362149577205
