idxcell,idycell,idzcell,Tinit
6,46,2,329.04468138225
7,46,2,326.6920147505
1,47,2,330.2430624235
2,47,2,331.571264964875
3,47,2,333.63561230787496
4,47,2,334.11590591825006
5,47,2,332.550983738
6,47,2,328.91073343262497
7,47,2,326.57955411625
1,48,2,330.33592226975
2,48,2,331.59536246000005
3,48,2,333.576029622875
4,48,2,334.014744686125
5,48,2,332.3634266015
6,48,2,328.65817157974993
7,48,2,326.32172273325
1,49,2,329.99353382625
2,49,2,331.39131912175
3,49,2,333.465535999625
4,49,2,333.80181200425
5,49,2,332.03396998712503
6,49,2,328.1537554197499
7,49,2,325.70122729175
1,50,2,329.76339323975003
2,50,2,331.22190345112494
3,50,2,333.308014871625
4,50,2,333.48708502750003
5,50,2,331.52377917775
6,50,2,327.48687287025
7,50,2,324.96474135924996
1,51,2,329.6817033965
2,51,2,331.1455323225
3,51,2,333.10632535200006
4,51,2,333.03601450250005
5,51,2,330.8355316075
6,51,2,326.66772440650004
7,51,2,324.1331251475
1,52,2,329.5934880845
2,52,2,331.062626111875
3,52,2,332.84606233025005
4,52,2,332.429619103875
5,52,2,329.940686567
6,52,2,325.616377867
7,52,2,323.0502602865
1,53,2,329.72141278799995
2,53,2,331.03269723924996
3,53,2,332.439944352625
4,53,2,331.60233903375
5,53,2,328.8127115295
6,53,2,324.235701624
7,53,2,321.51475124175
1,54,2,329.601150371
2,54,2,330.7537296915
3,54,2,331.75614153025003
4,54,2,330.527131112
5,54,2,327.566354764375
6,54,2,322.8318484311251
7,54,2,319.979275509
1,55,2,329.23213898150004
2,55,2,330.13716792337505
3,55,2,330.756180931125
4,55,2,329.357904253
5,55,2,326.41761227600006
6,55,2,321.9634269275
7,55,2,319.33727281200004
1,56,2,329.0873239395
2,56,2,329.54751918349996
3,56,2,329.620438633
4,56,2,328.16107226875
5,56,2,325.39526361599997
6,56,2,321.493880811625
7,56,2,319.28621609025004
1,57,2,328.953157285
2,57,2,329.03534512025004
3,57,2,328.62146457362496
4,57,2,327.09619574825
5,57,2,324.54315148
6,57,2,321.13307177412497
7,57,2,319.246835893
1,58,2,328.82943986550004
2,58,2,328.625498475125
3,58,2,327.83947223062506
4,58,2,326.2553880515
5,58,2,323.872357261125
6,58,2,320.852152168375
7,58,2,319.212978541
1,59,2,328.71579226949996
2,59,2,328.3054791885
3,59,2,327.228892349875
4,59,2,325.581403769625
5,59,2,323.33773587887504
6,59,2,320.6292086875
7,59,2,319.18313456425005
1,60,2,328.6112107245
2,60,2,328.055234333
3,60,2,326.764248221
4,60,2,325.068731820625
5,60,2,322.93640896875
6,60,2,320.460530722
7,60,2,319.15646864725
1,61,2,328.51472118575
2,61,2,327.85659719187504
3,61,2,326.413907980625
4,61,2,324.684315204125
5,61,2,322.6314910265
6,61,2,320.32804049975
7,61,2,319.1323865915
1,62,2,328.4257941715
2,62,2,327.697000338875
3,62,2,326.150381038875
4,62,2,324.394809720625
5,62,2,322.40172334849996
6,62,2,320.228447435375
7,62,2,319.1105120435
1,63,2,328.3441617645
2,63,2,327.567400433
3,63,2,325.9492418045
4,63,2,324.17626366875004
5,63,2,322.229463716875
6,63,2,320.15243739025004
7,63,2,319.09063017675
1,64,2,328.26954035475
2,64,2,327.46071029675005
3,64,2,325.794404813875
4,64,2,324.01102626025
5,64,2,322.09866541375
6,64,2,320.092397403875
7,64,2,319.07258711175
1,65,2,328.20165751225005
2,65,2,327.369291500125
3,65,2,325.667951146625
4,65,2,323.87901142825
5,65,2,321.995414425
6,65,2,320.044002939875
7,65,2,319.056223081
1,66,2,328.14010056575
2,66,2,327.29177866937505
3,66,2,325.56608124287504
4,66,2,323.7735594285
5,66,2,321.912829288125
6,66,2,320.004319353625
7,66,2,319.04139327524996
1,67,2,328.08449649
2,67,2,327.225298054875
3,67,2,325.48382149074996
4,67,2,323.69081802725
5,67,2,321.847801790375
6,67,2,319.971771418875
7,67,2,319.02803194975
1,68,2,328.03471540075
2,68,2,327.168296974375
3,68,2,325.416210956875
4,68,2,323.624041138875
5,68,2,321.795463813625
6,68,2,319.944745972875
7,68,2,319.0161032305
1,69,2,327.9906057765
2,69,2,327.11985098049996
3,69,2,325.36122021837497
4,69,2,323.5707221235
5,69,2,321.754596799625
6,69,2,319.923318533875
7,69,2,319.00554346325004
1,70,2,327.9520386795
2,70,2,327.079046384875
3,70,2,325.31827349075
4,70,2,323.53125283375
5,70,2,321.724605976125
6,70,2,319.906774628875
7,70,2,318.99635008175005
1,71,2,327.91919667825005
2,71,2,327.04544640437496
3,71,2,325.286007839125
4,71,2,323.50341767862506
5,71,2,321.70303112324996
6,71,2,319.894042123125
7,71,2,318.98853780925003
1,72,2,327.89222898724995
2,72,2,327.0184053685
3,72,2,325.260848818375
4,72,2,323.482008778125
5,72,2,321.6863997660001
6,72,2,319.884003034625
7,72,2,318.9821082065
1,73,2,327.87077975675
2,73,2,326.997557906875
3,73,2,325.241135192
4,73,2,323.4638803625
5,73,2,321.67181207149997
6,73,2,319.87540321225
7,73,2,318.97700867950005
1,74,2,327.85450310174997
2,74,2,326.982203718625
3,74,2,325.226571814
4,74,2,323.449604122
5,74,2,321.65996579437495
6,74,2,319.868568923625
7,74,2,318.97317521
1,75,2,327.84358118375
2,75,2,326.97201694125
