idxcell,idycell,idzcell,x_center_um,y_center_um,z_center_um,region_type,temperature_K,cell_volume_um3
6,38,1,0.019,0.083,0.005,Z-,328.8172409025,4.0000000000000074e-08
7,38,1,0.025,0.083,0.005,X+,327.0017560665,2.0000000000000015e-07
1,39,1,0.005,0.08499999999999999,0.005,X-,330.214650162,1.999999999999988e-07
2,39,1,0.011,0.08499999999999999,0.005,Z-,331.47132132925003,3.999999999999976e-08
3,39,1,0.013000000000000001,0.08499999999999999,0.005,Z-,333.20306282375003,3.999999999999976e-08
4,39,1,0.015,0.08499999999999999,0.005,Z-,333.36107855600005,3.999999999999976e-08
5,39,1,0.017,0.08499999999999999,0.005,Z-,331.91157959525003,3.999999999999973e-08
6,39,1,0.019,0.08499999999999999,0.005,Z-,328.78216436875,3.9999999999999796e-08
7,39,1,0.025,0.08499999999999999,0.005,X+,326.785193508,1.9999999999999877e-07
1,40,1,0.005,0.087,0.005,X-,330.20834565049995,2.000000000000002e-07
2,40,1,0.011,0.087,0.005,Z-,331.49249824575,4.000000000000004e-08
3,40,1,0.013000000000000001,0.087,0.005,Z-,333.28622839125,4.000000000000004e-08
4,40,1,0.015,0.087,0.005,Z-,333.498859998,4.000000000000004e-08
5,40,1,0.017,0.087,0.005,Z-,332.06481210799996,4e-08
6,40,1,0.019,0.087,0.005,Z-,328.89662029425,4.0000000000000074e-08
7,40,1,0.025,0.087,0.005,X+,326.86553042699995,2.0000000000000015e-07
1,41,1,0.005,0.089,0.005,X-,330.19508793299997,2.000000000000002e-07
2,41,1,0.011,0.089,0.005,Z-,331.5092892045,4.000000000000004e-08
3,41,1,0.013000000000000001,0.089,0.005,Z-,333.37139273225,4.000000000000004e-08
4,41,1,0.015,0.089,0.005,Z-,333.641239844,4.000000000000004e-08
5,41,1,0.017,0.089,0.005,Z-,332.219016029,4e-08
6,41,1,0.019,0.089,0.005,Z-,329.0017557955,4.0000000000000074e-08
7,41,1,0.025,0.089,0.005,X+,326.92866423249995,2.0000000000000015e-07
1,42,1,0.005,0.091,0.005,X-,330.17412982350004,2.000000000000002e-07
2,42,1,0.011,0.091,0.005,Z-,331.51954532599996,4.000000000000004e-08
3,42,1,0.013000000000000001,0.091,0.005,Z-,333.45032909150007,4.000000000000004e-08
4,42,1,0.015,0.091,0.005,Z-,333.77784394925,4.000000000000004e-08
5,42,1,0.017,0.091,0.005,Z-,332.36697652825,4e-08
6,42,1,0.019,0.091,0.005,Z-,329.0901541165,4.0000000000000074e-08
7,42,1,0.025,0.091,0.005,X+,326.9663457205,2.0000000000000015e-07
1,43,1,0.005,0.093,0.005,X-,330.14675418549996,2.000000000000002e-07
2,43,1,0.011,0.093,0.005,Z-,331.52166262175,4.000000000000004e-08
3,43,1,0.013000000000000001,0.093,0.005,Z-,333.51721152125003,4.000000000000004e-08
4,43,1,0.015,0.093,0.005,Z-,333.90158654725,4.000000000000004e-08
5,43,1,0.017,0.093,0.005,Z-,332.4981186825,4e-08
6,43,1,0.019,0.093,0.005,Z-,329.153740426,4.0000000000000074e-08
7,43,1,0.025,0.093,0.005,X+,326.976564597,2.0000000000000015e-07
1,44,1,0.005,0.095,0.005,X-,330.1133974445,2.000000000000002e-07
2,44,1,0.011,0.095,0.005,Z-,331.51640853074997,4.000000000000004e-08
3,44,1,0.013000000000000001,0.095,0.005,Z-,333.57647567375,4.000000000000004e-08
4,44,1,0.015,0.095,0.005,Z-,334.0084326475,4.000000000000004e-08
5,44,1,0.017,0.095,0.005,Z-,332.59692141225,4e-08
6,44,1,0.019,0.095,0.005,Z-,329.1780963535,4.0000000000000074e-08
7,44,1,0.025,0.095,0.005,X+,326.94568344699996,2.0000000000000015e-07
1,45,1,0.005,0.097,0.005,X-,330.0727986805,2.000000000000002e-07
2,45,1,0.011,0.097,0.005,Z-,331.50196864599997,4.000000000000004e-08
3,45,1,0.013000000000000001,0.097,0.005,Z-,333.6174817315,4.000000000000004e-08
4,45,1,0.015,0.097,0.005,Z-,334.082793379,4.000000000000004e-08
5,45,1,0.017,0.097,0.005,Z-,332.65003817775,4e-08
6,45,1,0.019,0.097,0.005,Z-,329.1459908395,4.0000000000000074e-08
7,45,1,0.025,0.097,0.005,X+,326.85366723,2.0000000000000015e-07
1,46,1,0.005,0.099,0.005,X-,330.0248538815,2.000000000000002e-07
2,46,1,0.011,0.099,0.005,Z-,331.47356856075,4.000000000000004e-08
3,46,1,0.013000000000000001,0.099,0.005,Z-,333.6247812955,4.000000000000004e-08
4,46,1,0.015,0.099,0.005,Z-,334.10469288499996,4.000000000000004e-08
5,46,1,0.017,0.099,0.005,Z-,332.6385180565,4e-08
