# Xmin Xmax Ymin Ymax Zmin Zmax P_W_m3
0.01 0.012 0.094 0.096 0.03 0.04 8.96099176975e+16
0.01 0.012 0.094 0.096 0.04 0.05 8.96099176975e+16
0.01 0.012 0.094 0.096 0.05 0.06 8.96099176975e+16
0.01 0.012 0.094 0.096 0.06 0.07 8.96099176975e+16
0.01 0.012 0.094 0.096 0.07 0.08 8.96099176975e+16
0.01 0.012 0.096 0.098 0.01 0.02 8.67227713308e+16
0.01 0.012 0.096 0.098 0.02 0.03 8.67227713308e+16
0.01 0.012 0.096 0.098 0.03 0.04 8.67227713308e+16
0.01 0.012 0.096 0.098 0.04 0.05 8.67227713308e+16
0.01 0.012 0.096 0.098 0.05 0.06 8.67227713308e+16
0.01 0.012 0.096 0.098 0.06 0.07 8.67227713308e+16
0.01 0.012 0.096 0.098 0.07 0.08 8.67227713308e+16
0.01 0.012 0.098 0.1 0.01 0.02 8.46650599258e+16
0.01 0.012 0.098 0.1 0.02 0.03 8.46650599258e+16
0.01 0.012 0.098 0.1 0.03 0.04 8.46650599258e+16
0.01 0.012 0.098 0.1 0.04 0.05 8.46650599258e+16
0.01 0.012 0.098 0.1 0.05 0.06 8.46650599258e+16
0.01 0.012 0.098 0.1 0.06 0.07 8.46650599258e+16
0.01 0.012 0.098 0.1 0.07 0.08 8.46650599258e+16
0.01 0.012 0.1 0.102 0.01 0.02 8.37636820365e+16
0.01 0.012 0.1 0.102 0.02 0.03 8.37636820365e+16
0.01 0.012 0.1 0.102 0.03 0.04 8.37636820365e+16
0.01 0.012 0.1 0.102 0.04 0.05 8.37636820365e+16
0.01 0.012 0.1 0.102 0.05 0.06 8.37636820365e+16
0.01 0.012 0.1 0.102 0.06 0.07 8.37636820365e+16
0.01 0.012 0.1 0.102 0.07 0.08 8.37636820365e+16
0.01 0.012 0.102 0.104 0.01 0.02 8.44711602541e+16
0.01 0.012 0.102 0.104 0.02 0.03 8.44711602541e+16
0.01 0.012 0.102 0.104 0.03 0.04 8.44711602541e+16
0.01 0.012 0.102 0.104 0.04 0.05 8.44711602541e+16
0.01 0.012 0.102 0.104 0.05 0.06 8.44711602541e+16
0.01 0.012 0.102 0.104 0.06 0.07 8.44711602541e+16
0.01 0.012 0.102 0.104 0.07 0.08 8.44711602541e+16
0.01 0.012 0.104 0.106 0.01 0.02 8.75529190123e+16
0.01 0.012 0.104 0.106 0.02 0.03 8.75529190123e+16
0.01 0.012 0.104 0.106 0.03 0.04 8.75529190123e+16
0.01 0.012 0.104 0.106 0.04 0.05 8.75529190123e+16
0.01 0.012 0.104 0.106 0.05 0.06 8.75529190123e+16
0.01 0.012 0.104 0.106 0.06 0.07 8.75529190123e+16
0.01 0.012 0.104 0.106 0.07 0.08 8.75529190123e+16
0.01 0.012 0.106 0.108 0.01 0.02 9.43778399942e+16
0.01 0.012 0.106 0.108 0.02 0.03 9.43778399942e+16
0.01 0.012 0.106 0.108 0.03 0.04 9.43778399942e+16
0.01 0.012 0.106 0.108 0.04 0.05 9.43778399942e+16
0.01 0.012 0.106 0.108 0.05 0.06 9.43778399942e+16
0.01 0.012 0.106 0.108 0.06 0.07 9.43778399942e+16
0.01 0.012 0.106 0.108 0.07 0.08 9.43778399942e+16
0.01 0.012 0.108 0.11 0.01 0.02 1.08651431938e+17
0.01 0.012 0.108 0.11 0.02 0.03 1.08651431938e+17
0.01 0.012 0.108 0.11 0.03 0.04 1.08651431938e+17
0.01 0.012 0.108 0.11 0.04 0.05 1.08651431938e+17
0.01 0.012 0.108 0.11 0.05 0.06 1.08651431938e+17
0.01 0.012 0.108 0.11 0.06 0.07 1.08651431938e+17
0.01 0.012 0.108 0.11 0.07 0.08 1.08651431938e+17
0.01 0.012 0.11 0.112 0.01 0.02 1.41082218244e+17
0.01 0.012 0.11 0.112 0.02 0.03 1.41082218244e+17
0.01 0.012 0.11 0.112 0.03 0.04 1.41082218244e+17
0.01 0.012 0.11 0.112 0.04 0.05 1.41082218244e+17
0.01 0.012 0.11 0.112 0.05 0.06 1.41082218244e+17
0.01 0.012 0.11 0.112 0.06 0.07 1.41082218244e+17
0.01 0.012 0.11 0.112 0.07 0.08 1.41082218244e+17
0.01 0.012 0.112 0.114 0.01 0.02 2.43004217149e+17
0.01 0.012 0.112 0.114 0.02 0.03 2.43004217149e+17
0.01 0.012 0.112 0.114 0.03 0.04 2.43004217149e+17
0.01 0.012 0.112 0.114 0.04 0.05 2.43004217149e+17
0.01 0.012 0.112 0.114 0.05 0.06 2.43004217149e+17
0.01 0.012 0.112 0.114 0.06 0.07 2.43004217149e+17
0.01 0.012 0.112 0.114 0.07 0.08 2.43004217149e+17
0.01 0.012 0.114 0.116 0.01 0.02 5.91564499438e+17
0.01 0.012 0.114 0.116 0.02 0.03 5.91564499438e+17
0.01 0.012 0.114 0.116 0.03 0.04 5.91564499438e+17
0.01 0.012 0.114 0.116 0.04 0.05 5.91564499438e+17
0.01 0.012 0.114 0.116 0.05 0.06 5.91564499438e+17
0.01 0.012 0.114 0.116 0.06 0.07 5.91564499438e+17
0.01 0.012 0.114 0.116 0.07 0.08 5.91564499438e+17
0.01 0.012 0.116 0.118 0.01 0.02 2.47304522639e+17
0.01 0.012 0.116 0.118 0.02 0.03 2.47304522639e+17
0.01 0.012 0.116 0.118 0.03 0.04 2.47304522639e+17
0.01 0.012 0.116 0.118 0.04 0.05 2.47304522639e+17
0.01 0.012 0.116 0.118 0.05 0.06 2.47304522639e+17
0.01 0.012 0.116 0.118 0.06 0.07 2.47304522639e+17
0.01 0.012 0.116 0.118 0.07 0.08 2.47304522639e+17
0.01 0.012 0.118 0.12 0.01 0.02 1.10704887128e+17
0.01 0.012 0.118 0.12 0.02 0.03 1.10704887128e+17
0.01 0.012 0.118 0.12 0.03 0.04 1.10704887128e+17
0.01 0.012 0.118 0.12 0.04 0.05 1.10704887128e+17
