# X Y Z T_K
0.01 0.146 0.05 327.971431481
0.01 0.146 0.06 327.971916414
0.01 0.146 0.07 327.972500971
0.01 0.146 0.08 327.972245224
0.01 0.148 0.01 327.93403625
0.01 0.148 0.02 327.934255177
0.01 0.148 0.03 327.935233776
0.01 0.148 0.04 327.935524952
0.01 0.148 0.05 327.936200085
0.01 0.148 0.06 327.936562689
0.01 0.148 0.07 327.937147158
0.01 0.148 0.08 327.936995626
0.01 0.15 0.01 327.904001066
0.01 0.15 0.02 327.90449422
0.01 0.15 0.03 327.905483234
0.01 0.15 0.04 327.905998535
0.01 0.15 0.05 327.906632727
0.01 0.15 0.06 327.907013454
0.01 0.15 0.07 327.907209817
0.01 0.15 0.08 327.907405667
0.01 0.152 0.01 327.879689632
0.01 0.152 0.02 327.880731031
0.01 0.152 0.03 327.881237567
0.01 0.152 0.04 327.882107307
0.01 0.152 0.05 327.882559807
0.01 0.152 0.06 327.883040009
0.01 0.152 0.07 327.883162821
0.01 0.152 0.08 327.883158115
0.01 0.154 0.01 327.860834419
0.01 0.154 0.02 327.861863945
0.01 0.154 0.03 327.862390781
0.01 0.154 0.04 327.863528588
0.01 0.154 0.05 327.863819584
0.01 0.154 0.06 327.864232669
0.01 0.154 0.07 327.864230892
0.01 0.154 0.08 327.864223712
0.01 0.156 0.01 327.847182383
0.01 0.156 0.02 327.84813166
0.01 0.156 0.03 327.848986334
0.01 0.156 0.04 327.850204311
0.01 0.156 0.05 327.850181443
0.01 0.156 0.06 327.850667442
0.01 0.156 0.07 327.85054233
0.01 0.156 0.08 327.850770935
0.01 0.158 0.01 327.839263819
0.01 0.158 0.02 327.839746873
0.01 0.158 0.03 327.840874327
0.01 0.158 0.04 327.841998428
0.01 0.158 0.05 327.841742352
0.01 0.158 0.06 327.842363519
0.01 0.158 0.07 327.842125332
0.01 0.158 0.08 327.842716734
0.01 0.16 0.01 327.836813542
0.01 0.16 0.02 327.836774321
0.01 0.16 0.03 327.837936377
0.01 0.16 0.04 327.8390884
0.01 0.16 0.05 327.838770904
0.01 0.16 0.06 327.839374438
0.01 0.16 0.07 327.83897919
0.01 0.16 0.08 327.840052952
0.012 0.01 0.01 326.269118356
0.012 0.01 0.02 326.254068379
0.012 0.01 0.03 326.256864181
0.012 0.01 0.04 326.253587002
0.012 0.01 0.05 326.268761604
0.012 0.01 0.06 326.257648078
0.012 0.01 0.07 326.261100629
0.012 0.01 0.08 326.225449662
0.012 0.012 0.01 326.271844874
0.012 0.012 0.02 326.259693926
0.012 0.012 0.03 326.260355073
0.012 0.012 0.04 326.256682629
0.012 0.012 0.05 326.273362678
0.012 0.012 0.06 326.26052338
0.012 0.012 0.07 326.2641879
0.012 0.012 0.08 326.233821863
0.012 0.014 0.01 326.2804432
0.012 0.014 0.02 326.270534937
0.012 0.014 0.03 326.26451258
0.012 0.014 0.04 326.260601113
0.012 0.014 0.05 326.283634086
0.012 0.014 0.06 326.268950364
0.012 0.014 0.07 326.270520851
0.012 0.014 0.08 326.245084164
0.012 0.016 0.01 326.290607233
0.012 0.016 0.02 326.284586948
0.012 0.016 0.03 326.276196618
0.012 0.016 0.04 326.273028018
0.012 0.016 0.05 326.296685731
0.012 0.016 0.06 326.284034175
0.012 0.016 0.07 326.283932585
0.012 0.016 0.08 326.263385633
0.012 0.018 0.01 326.306095051
0.012 0.018 0.02 326.301810055
0.012 0.018 0.03 326.296137474
0.012 0.018 0.04 326.293200712
0.012 0.018 0.05 326.316388437
0.012 0.018 0.06 326.304074442
0.012 0.018 0.07 326.302741836
0.012 0.018 0.08 326.288826426
0.012 0.02 0.01 326.327612286
0.012 0.02 0.02 326.325864456
0.012 0.02 0.03 326.324569854
0.012 0.02 0.04 326.321223737
0.012 0.02 0.05 326.341915415
0.012 0.02 0.06 326.329039723
0.012 0.02 0.07 326.328791194
0.012 0.02 0.08 326.319762366
0.012 0.022 0.01 326.358771064
0.012 0.022 0.02 326.35993234
0.012 0.022 0.03 326.358348642
0.012 0.022 0.04 326.359593446
0.012 0.022 0.05 326.373811979
0.012 0.022 0.06 326.360420839
0.012 0.022 0.07 326.363673777
0.012 0.022 0.08 326.357311611
0.012 0.024 0.01 326.40087145
0.012 0.024 0.02 326.402001873
0.012 0.024 0.03 326.397866006
0.012 0.024 0.04 326.403480519
0.012 0.024 0.05 326.413678778
0.012 0.024 0.06 326.401541123
0.012 0.024 0.07 326.405709283
0.012 0.024 0.08 326.399896194
0.012 0.026 0.01 326.4519357
0.012 0.026 0.02 326.451280237
0.012 0.026 0.03 326.44834994
0.012 0.026 0.04 326.454918371
0.012 0.026 0.05 326.461805049
0.012 0.026 0.06 326.45129415
0.012 0.026 0.07 326.454936099
0.012 0.026 0.08 326.449274154
0.012 0.028 0.01 326.510934642
0.012 0.028 0.02 326.518047908
0.012 0.028 0.03 326.512804286
0.012 0.028 0.04 326.516761891
0.012 0.028 0.05 326.520699836
0.012 0.028 0.06 326.512870721
0.012 0.028 0.07 326.518435844
0.012 0.028 0.08 326.510074291
0.012 0.03 0.01 326.579409698
0.012 0.03 0.02 326.596609068
0.012 0.03 0.03 326.590711736
0.012 0.03 0.04 326.593482859
0.012 0.03 0.05 326.593964623
0.012 0.03 0.06 326.596835986
0.012 0.03 0.07 326.591790137
0.012 0.03 0.08 326.585826304
0.012 0.032 0.01 326.66327093
0.012 0.032 0.02 326.694999717
0.012 0.032 0.03 326.689246217
0.012 0.032 0.04 326.68998094
0.012 0.032 0.05 326.686994307
0.012 0.032 0.06 326.693095643
0.012 0.032 0.07 326.688322568
0.012 0.032 0.08 326.675382887
0.012 0.034 0.01 326.776387715
0.012 0.034 0.02 326.806227834
0.012 0.034 0.03 326.798963071
0.012 0.034 0.04 326.80477339
0.012 0.034 0.05 326.795877289
0.012 0.034 0.06 326.804551502
0.012 0.034 0.07 326.794250883
0.012 0.034 0.08 326.785404494
0.012 0.036 0.01 326.919667555
0.012 0.036 0.02 326.941282631
0.012 0.036 0.03 326.937881407
0.012 0.036 0.04 326.940440481
0.012 0.036 0.05 326.945262708
0.012 0.036 0.06 326.953645521
0.012 0.036 0.07 326.939946488
0.012 0.036 0.08 326.924815392
0.012 0.038 0.01 327.101883442
0.012 0.038 0.02 327.113621744
0.012 0.038 0.03 327.109073607
0.012 0.038 0.04 327.111796514
0.012 0.038 0.05 327.118830228
0.012 0.038 0.06 327.134408574
0.012 0.038 0.07 327.111250104
0.012 0.038 0.08 327.099384184
0.012 0.04 0.01 327.319882469
0.012 0.04 0.02 327.328965153
0.012 0.04 0.03 327.326393132
0.012 0.04 0.04 327.324733611
0.012 0.04 0.05 327.326900663
0.012 0.04 0.06 327.349260482
0.012 0.04 0.07 327.348421371
0.012 0.04 0.08 327.315366927
0.012 0.042 0.01 327.59334241
0.012 0.042 0.02 327.596749676
0.012 0.042 0.03 327.598032292
0.012 0.042 0.04 327.618230308
0.012 0.042 0.05 327.590121323
0.012 0.042 0.06 327.615966201
0.012 0.042 0.07 327.599817158
0.012 0.042 0.08 327.589880577
0.012 0.044 0.01 327.94179955
0.012 0.044 0.02 327.978371559
0.012 0.044 0.03 327.975527628
0.012 0.044 0.04 327.969913463
0.012 0.044 0.05 327.961847497
