# branch	q_real(1/m)	f(THz)	vg(m/s)
4	9.9216361789e+09	2.5313970000	195.2820014952
4	1.0034377144e+10	2.5347420000	177.5594910855
4	1.0147118109e+10	2.5377690000	159.8369806759
4	1.0259859074e+10	2.5404780000	-379.9750816765
4	1.0372600039e+10	2.5241330000	-1003.5789503211
4	1.0485341004e+10	2.5044630000	-1134.1013383067
4	1.0598081970e+10	2.4834340000	-953.3930364094
4	1.0710822935e+10	2.4702490000	-400.5140481709
4	1.0823625507e+10	2.4690570000	-73.9071968976
4	1.0936366472e+10	2.4675960000	-82.5099895016
4	1.1049107437e+10	2.4660960000	-63.5056623013
4	1.1161848402e+10	2.4653170000	-43.4145773872
5	0.0000000000e+00	0.5527500000	679.2514367077
5	1.1274096511e+08	0.5649380000	1314.9489681161
5	2.2548193021e+08	0.5999390000	1318.6550905760
5	3.3822289532e+08	0.6122600000	792.8594161734
5	4.5096386042e+08	0.6283920000	3000.8724347917
5	5.6370482553e+08	0.7199510000	6523.4721689549
5	6.7644579063e+08	0.8624970000	7140.0815252373
5	7.8924836283e+08	0.9762540000	5753.0052942799
5	9.0198932793e+08	1.0690090000	5204.4548258077
5	1.0147302930e+09	1.1630240000	5242.4913457908
5	1.1274712581e+09	1.2571440000	5220.2267454491
5	1.2402122232e+09	1.3503600000	5142.7325607803
5	1.3529531884e+09	1.4416990000	5007.5287549506
5	1.4656941535e+09	1.5300630000	4804.7230462060
5	1.5784351186e+09	1.6141240000	4542.3407222792
5	1.6911760837e+09	1.6930720000	4248.1637688281
5	1.8039170488e+09	1.7665760000	3932.2795266835
5	1.9166580139e+09	1.8341880000	3592.4308836704
5	2.0293989790e+09	1.8954960000	3235.3891763134
5	2.1421399441e+09	1.9502950000	2873.8561399008
5	2.2549425163e+09	1.9986570000	2524.7121901390
5	2.3676834814e+09	2.0409230000	2200.9908918523
5	2.4804244465e+09	2.0776430000	1910.4643296963
5	2.5931654116e+09	2.1094830000	1657.7513628641
5	2.7059063767e+09	2.1371340000	1442.6569322788
5	2.8186473418e+09	2.1612550000	1262.2551517879
5	2.9313883069e+09	2.1824320000	1112.1711249539
5	3.0441292720e+09	2.2011670000	987.8627618446
5	3.1568702371e+09	2.2178830000	885.0108971872
5	3.2696112022e+09	2.2329270000	799.8258117747
5	3.3823521673e+09	2.2465860000	728.9873834969
5	3.4951547395e+09	2.2590950000	670.3184967022
5	3.6078957046e+09	2.2706480000	621.7368746235
5	3.7206366697e+09	2.2814070000	581.2203178064
5	3.8333776349e+09	2.2915060000	547.5865598434
5	3.9461186000e+09	2.3010580000	519.8324397679
5	4.0588595651e+09	2.3101610000	497.1219901077
5	4.1716005302e+09	2.3188980000	478.7028401379
5	4.2843414953e+09	2.3273400000	464.0176782104
5	4.3970824604e+09	2.3355500000	452.6206550067
5	4.5098234255e+09	2.3435830000	444.1216523731
5	4.6225643906e+09	2.3514880000	438.1305521560
5	4.7353053557e+09	2.3593060000	434.3965641137
5	4.8480463208e+09	2.3670770000	432.5507147492
5	4.9608488930e+09	2.3748330000	432.4949988073
5	5.0735898581e+09	2.3826020000	434.0621771248
5	5.1863308232e+09	2.3904100000	436.8208697829
5	5.2990717883e+09	2.3982780000	440.6384545724
5	5.4118127534e+09	2.4062230000	445.2641412517
5	5.5245537185e+09	2.4142570000	450.4750051615
5	5.6372946836e+09	2.4223890000	456.1038528073
5	5.7500356487e+09	2.4306250000	461.8998939476
5	5.8627766138e+09	2.4389650000	467.5844727582
5	5.9755175789e+09	2.4474050000	472.9625301624
5	6.0882585441e+09	2.4559380000	477.7554103361
